id,titulo,contenido
1,Qué es una fractura ósea,"Una fractura ósea es la pérdida de continuidad del hueso debido a un impacto, presión excesiva o debilitamiento estructural. Puede ser simple o compleja, completa o incompleta, y aparecer como líneas radiolúcidas en una radiografía."
2,Qué es una radiografía,"Una radiografía es una imagen obtenida mediante rayos X que permite visualizar estructuras óseas con alta densidad. Es el método más común para detectar fracturas."
3,Signos radiográficos de fractura,"Los signos incluyen: líneas radiolúcidas, desplazamiento óseo, interrupción cortical, fragmentación, aparente discontinuidad en la densidad ósea."
4,Modelos de detección de fracturas,"Modelos como YOLOv8, Faster R-CNN y ResNet pueden identificar fracturas mediante aprendizaje profundo entrenado con miles de radiografías etiquetadas."
5,YOLO para detección ósea,"YOLO detecta fracturas como objetos dentro de una imagen, generando cuadros delimitadores (bounding boxes) en las zonas sospechosas."
6,Preprocesamiento de imágenes,"Incluye normalización, reducción de ruido, realce de bordes, aumento de contraste y redimensión a tamaños estándar como 640x640."
7,Dataset para entrenar modelos,"Los datasets suelen incluir radiografías de brazos, manos, piernas y columna. Cada imagen está etiquetada con: ubicación de fractura, tipo de fractura y nivel de severidad."
8,Qué es un bounding box,"Un bounding box es un rectángulo que delimita la zona donde el modelo cree que existe una fractura. Posee coordenadas Xmin, Ymin, Xmax, Ymax."
9,Limitaciones de los modelos,"Los modelos pueden fallar si la radiografía tiene mala calidad, sobreexposición, objetos superpuestos, rotación excesiva o degradación por ruido."
10,Técnicas de mejora,"Se aplican filtros Sobel, Canny, CLAHE y transformadas para mejorar líneas óseas y hacer la fractura más evidente para el modelo."
11,Qué es fine-tuning,"Es el proceso de ajustar un modelo preentrenado con nuevos datos específicos, por ejemplo, radiografías de un hospital particular."
12,Segmentación ósea,"Técnicas como U-Net permiten aislar huesos del resto de la imagen, facilitando la detección más precisa."
13,Precauciones,"Los modelos de IA no reemplazan una evaluación médica profesional. Son herramientas de apoyo."
